question,paraphrase_question,answer
What is the tuition fee for the Computer Science branch at NMAM Institute of Technology?,What is the cost of studying Computer Science at NMAM Institute of Technology?,"The tuition fee for the Computer Science branch at NMAM Institute of Technology is INR 300,000 per annum for General category students and INR 350,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Artificial Intelligence & Data Science branch at NMAM Institute of Technology?,What is the cost of studying Artificial Intelligence & Data Science at NMAM Institute of Technology?,"The tuition fee for the Artificial Intelligence & Data Science branch at NMAM Institute of Technology is INR 300,000 per annum for General category students and INR 350,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Artificial Intelligence & Machine Learning branch at NMAM Institute of Technology?,What is the cost of studying Artificial Intelligence & Machine Learning at NMAM Institute of Technology?,"The tuition fee for the Artificial Intelligence & Machine Learning branch at NMAM Institute of Technology is INR 300,000 per annum for General category students and INR 350,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Computer Science (Cyber Security) branch at NMAM Institute of Technology?,What is the cost of studying Computer Science with a focus on Cyber Security at NMAM Institute of Technology?,"The tuition fee for the Computer Science (Cyber Security) branch at NMAM Institute of Technology is INR 300,000 per annum for General category students and INR 350,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Computer Science (Full Stack Development specialization) branch at NMAM Institute of Technology?,What is the cost of studying Computer Science with a specialization in Full Stack Development at NMAM Institute of Technology?,"The tuition fee for the Computer Science (Full Stack Development specialization) branch at NMAM Institute of Technology is INR 350,000 per annum for General category students and INR 400,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Computer & Communication branch at NMAM Institute of Technology?,What is the cost of studying Computer & Communication at NMAM Institute of Technology?,"The tuition fee for the Computer & Communication branch at NMAM Institute of Technology is INR 200,000 per annum for General category students and INR 250,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Biotechnology branch at NMAM Institute of Technology?,What is the cost of studying Biotechnology at NMAM Institute of Technology?,"The tuition fee for the Biotechnology branch at NMAM Institute of Technology is INR 125,000 per annum for General category students and INR 150,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Civil branch at NMAM Institute of Technology?,What is the cost of studying Civil Engineering at NMAM Institute of Technology?,"The tuition fee for the Civil branch at NMAM Institute of Technology is INR 125,000 per annum for General category students and INR 150,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Electrical & Electronics branch at NMAM Institute of Technology?,What is the cost of studying Electrical & Electronics at NMAM Institute of Technology?,"The tuition fee for the Electrical & Electronics branch at NMAM Institute of Technology is INR 125,000 per annum for General category students and INR 150,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
What is the tuition fee for the Electronics & Communication branch at NMAM Institute of Technology?,What is the cost of studying Electronics & Communication at NMAM Institute of Technology?,"The tuition fee for the Electronics & Communication branch at NMAM Institute of Technology is INR 175,000 per annum for General category students and INR 200,000 per annum for NRI category students. For more details, download: https://nitte.edu.in/fee/BTECH.pdf"
