question,paraphrase_question,answer
When was the Civil Engineering Department established  ? ,What is the establishment date of the Civil Engineering Department ? ,The department was established in 1987.
What was the initial intake for the undergraduate program  ? ,What was the original capacity for the undergraduate program ? ,The initial intake was 60 students.
"When was the annual intake increased, and to what number  ? ","When was the annual intake expanded, and what was the new capacity ? ",The annual intake was increased to 120 students starting from the academic year 2012-13.
"What postgraduate programs does the department offer, and when were they started  ? ","What are the postgraduate programs provided by the department, and when were they initiated ? ",The department offers M.Tech programs in Construction Technology (started in 2010 with an intake of 18) and Structural Engineering (started in 2017 with an intake of 24).
Is the department recognized as a Research Centre  ? ,Does the department have recognition as a Research Centre ? ,"Yes, the department is recognized as a Research Centre offering M.Sc. (Engg.) and Ph.D. programs."
How many research scholars are currently pursuing their Ph.D. in the department  ? ,How many Ph.D. students are presently conducting research in the department ? ,There are 9 research scholars currently pursuing their Ph.D.
What activities does the Department Students' Association (OCEAN) organize for Civil Engineering students  ? ,What events does the Department Students' Association (OCEAN) arrange for students of Civil Engineering ? ,"OCEAN organizes seminars, workshops, educational tours, design competitions, Leadership Training, Personality Development Training, and Entrepreneurship Development Programmes."
"Has the department undertaken any funded projects ?  If so, could you provide examples  ? ","Has the department initiated any projects with funding ?  If yes, can you provide some examples ? ","Yes, the department has taken up Karnataka State Council for Science & Technology (KSCST) funded projects and is also working on developing Masonry blocks and Paver blocks using Industrial waste materials under Karnataka New Age Incubation Centre, NMAMIT funded by the Department of IT, BT and S & T, government of Karnataka."
What is the focus of the M.Tech program in Construction Technology  ? ,What is the emphasis of the M.Tech program in Construction Technology ? ,The focus of the M.Tech program in Construction Technology is not explicitly mentioned in the provided information.
How does the department support entrepreneurship among its students  ? ,What measures does the department take to encourage entrepreneurship among its students ? ,The department supports entrepreneurship development through Entrepreneurship Development Programmes organized by OCEAN.
What motivated the increase in the annual intake from 60 to 120 students  ? ,What drove the decision to double the annual intake from 60 to 120 students ? ,The motivation behind the increase in the annual intake is not specified in the provided information.
What types of research areas are covered in the M.Sc. (Engg.) and Ph.D. programs  ? ,What research fields are included in the M.Sc. (Engg.) and Ph.D. programs ? ,The specific research areas covered in the M.Sc. (Engg.) and Ph.D. programs are not mentioned in the provided information.
How does the department engage with industry partners for research and projects  ? ,In what ways does the department collaborate with industry partners for research and projects ? ,"The department engages with industry partners through funded projects and collaborations, such as those with KSCST and the Karnataka New Age Incubation Centre."
"What benefits do students gain from participating in seminars, workshops, and educational tours organized by OCEAN  ? ","What advantages do students derive from attending seminars, workshops, and educational tours organized by OCEAN ? ","Students gain knowledge, skills, and networking opportunities from participating in seminars, workshops, and educational tours organized by OCEAN."
What is the significance of the Masonry blocks and Paver blocks project undertaken by the department  ? ,What is the importance of the Masonry blocks and Paver blocks project conducted by the department ? ,The significance lies in utilizing industrial waste materials for sustainable construction practices and addressing environmental concerns.
How does the department ensure the quality of its postgraduate programs  ? ,How does the department guarantee the quality of its postgraduate programs ? ,"The department ensures the quality of its postgraduate programs through rigorous academic standards, faculty expertise, and industry relevance."
Are there any collaborations or partnerships with governmental agencies besides KSCST  ? ,"Besides KSCST, are there any collaborations or partnerships with governmental agencies ? ","Yes, the department collaborates with the Department of IT, BT and S & T, Government of Karnataka, for funded projects related to technological innovation."
What opportunities are provided for students to gain practical experience in construction technology and structural engineering  ? ,What avenues are available for students to acquire practical experience in construction technology and structural engineering ? ,"Practical experience is gained through hands-on projects, laboratory work, and field visits organized as part of the curriculum."
How does the department foster a culture of research among its students and faculty  ? ,How does the department cultivate a research-oriented culture among its students and faculty ? ,"The department fosters a research culture through its Research Centre status, funded projects, and opportunities for advanced study at the M.Sc. (Engg.) and Ph.D. levels."
What impact do the department's research projects have on the local community and industry  ? ,What influence do the department's research projects have on the local community and industry ? ,"The research projects contribute to solving local challenges, promoting sustainable practices, and enhancing the competitiveness of the local industry through innovation and technology transfer."
What is the vision of the Civil Engineering Department  ? ,What is the department's vision ? ,The vision is to uphold the department as a leader in community development through innovation and excellence in diverse areas of Civil Engineering to meet global challenges and market demands.
What is the mission of the Civil Engineering Department  ? ,What is the department's mission ? ,"The mission includes providing students with strong theoretical knowledge and practical skills in various Civil Engineering subjects, preparing them to be competent and skilled in research, consultancy, and entrepreneurship, and encouraging the development of professional ethics through discipline and principles."
How does the department aim to achieve its vision  ? ,How does the department plan to realize its vision ? ,"The department aims to achieve its vision by focusing on innovation, excellence, and community development in diverse areas of Civil Engineering."
What is the focus of the department's mission regarding students' knowledge and skills  ? ,What is the department's mission emphasis concerning students' knowledge and skills ? ,The focus is on providing students with a strong theoretical knowledge and practical skills to understand the basic concepts and fundamentals of various Civil Engineering subjects.
In what areas does the department aim to excel to meet global challenges and market demands  ? ,In which fields does the department strive for excellence to address global challenges and market needs ? ,The department aims to excel in diverse areas of Civil Engineering to meet global challenges and market demands.
"How does the department plan to prepare students for challenges in research, consultancy, and entrepreneurship  ? ","How does the department intend to equip students for challenges in research, consultancy, and entrepreneurship ? ","The department plans to provide students with competency and skills necessary to take on challenges in research, consultancy, and entrepreneurship."
What values does the department seek to instill in its students  ? ,What values does the department aim to cultivate in its students ? ,The department seeks to instill professional ethics through discipline and principles in its students.
What role does innovation play in achieving the department's vision  ? ,How does innovation contribute to fulfilling the department's vision ? ,Innovation is essential for upholding the department as a leader in community development and meeting global challenges and market demands.
How does the department plan to support students in developing practical skills  ? ,How does the department intend to assist students in honing their practical skills ? ,The department plans to provide practical training and hands-on experience to students in various Civil Engineering subjects.
